n,s,CP_n,E_n
2,-0.5,1.849103593184e-01,1.094621559102e-01
3,-0.5,6.295243705964e-02,1.331438670735e-01
4,-0.5,2.115295356573e-02,1.422594925496e-01
5,-0.5,7.073825308977e-03,1.459597000543e-01
6,-0.5,2.361512661266e-03,1.476951533753e-01
7,-0.5,7.877158057654e-04,1.484896448059e-01
8,-0.5,2.626600966109e-04,1.488752625760e-01
9,-0.5,8.756782826928e-05,1.490650425496e-01
10,-0.5,2.919168153659e-05,1.491597353694e-01
11,-0.5,9.730963959884e-06,1.492073817343e-01
12,-0.5,3.243722597501e-06,1.492314539591e-01
13,-0.5,1.081252338965e-06,1.492436485436e-01
14,-0.5,3.604193896721e-07,1.492498452005e-01
