n,s,CP_n,E_n
2,,3.089343129626e-01,8.536058777754e-01
3,,1.438287940396e-01,1.588918292713e+00
4,,7.235828429672e-02,2.907347352023e+00
5,,3.227076455518e-02,4.227863857939e+00
6,,1.625271486968e-02,6.898819426666e+00
7,,7.393622579565e-03,9.779901721005e+00
8,,3.680910154236e-03,1.510030101463e+01
9,,1.696963121190e-03,2.126755007625e+01
10,,8.319176161116e-04,3.174926887585e+01
11,,3.855877954741e-04,4.453714746990e+01
12,,1.863512258551e-04,6.502312121311e+01
