n,s,CP_n,E_n
2,,2.022006394159e-01,2.132038364953e-01
3,,7.193316945988e-02,2.947970502778e-01
4,,2.501652592230e-02,3.508923998039e-01
5,,8.557294692379e-03,3.862817401655e-01
6,,2.903200107973e-03,4.109552524750e-01
7,,9.792232727248e-04,4.277075316328e-01
8,,3.290655349008e-04,4.393326496561e-01
9,,1.103087678457e-04,4.474716516718e-01
10,,3.691519949082e-05,4.532037431556e-01
11,,1.233944344499e-05,4.572635919663e-01
12,,4.121281014255e-06,4.601451356646e-01
