n,s,CP_n,E_n
2,-0.9,1.674005313477e-01,4.403188086354e-03
3,-0.9,5.580247819356e-02,4.444607484157e-03
4,-0.9,1.860083826297e-02,4.445266200416e-03
5,-0.9,6.200279495950e-03,4.445278343902e-03
6,-0.9,2.066759833672e-03,4.445279164772e-03
7,-0.9,6.889199446104e-04,4.445279241942e-03
8,-0.9,2.296399815385e-04,4.445279249456e-03
9,-0.9,7.654666051290e-05,4.445279250210e-03
10,-0.9,2.551555350430e-05,4.445279250289e-03
11,-0.9,8.505184501434e-06,4.445279250297e-03
12,-0.9,2.835061500478e-06,4.445279250298e-03
13,-0.9,9.450205001593e-07,4.445279250298e-03
14,-0.9,3.150068333864e-07,4.445279250298e-03
